"modelA","modelB","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"(bert-base-uncased)","(bert-large-uncased)","(bert-base-uncased) - (bert-large-uncased)",-2.3109502268003212,0.6184552824025418,1881.0000000025723,-3.736648861374207,0.026491243884123272,"*"
"(bert-base-uncased)","(bert-base-multilingual-uncased)","(bert-base-uncased) - (bert-base-multilingual-uncased)",3.8499898879499477,0.6184552824025418,1881.0000000025723,6.225170998610787,1.118888678375285e-7,"***"
"(bert-base-uncased)","(roberta-base)","(bert-base-uncased) - (roberta-base)",7.136808997882945,0.6184552824025418,1881.0000000025723,11.53973326924827,2.3406943050474638e-11,"***"
"(bert-base-uncased)","(roberta-large)","(bert-base-uncased) - (roberta-large)",5.453438748215064,0.6184552824025418,1881.0000000025723,8.817838416756405,2.3558599515638434e-11,"***"
"(bert-base-uncased)","(xlm-roberta-base)","(bert-base-uncased) - (xlm-roberta-base)",10.676459100176844,0.6184552824025419,1881.0000000025723,17.263106006147297,2.3401391935351512e-11,"***"
"(bert-base-uncased)","(xlm-roberta-large)","(bert-base-uncased) - (xlm-roberta-large)",8.932395186309096,0.6184552824025418,1881.0000000025723,14.443073639227412,2.3401391935351512e-11,"***"
"(bert-base-uncased)","(deberta-v3-base)","(bert-base-uncased) - (deberta-v3-base)",-5.942861998322431,0.6184552824025418,1881.0000000025723,-9.60920242323086,2.3587687358883613e-11,"***"
"(bert-base-uncased)","(deberta-v3-large)","(bert-base-uncased) - (deberta-v3-large)",-6.81928422336862,0.6184552824025418,1881.0000000025723,-11.026317370719887,2.352573691410953e-11,"***"
"(bert-base-uncased)","(mdeberta-v3-base)","(bert-base-uncased) - (mdeberta-v3-base)",0.45622982695961317,0.6184552824025417,1881.0000000023115,0.7376925057334399,0.9999998934716534,"ns"
"(bert-base-uncased)","gpt2","(bert-base-uncased) - gpt2",8.927326851359817,0.6184552824025418,1881.0000000023115,14.434878487381365,2.3401391935351512e-11,"***"
"(bert-base-uncased)","(gpt2-medium)","(bert-base-uncased) - (gpt2-medium)",10.05684745282834,0.6184552824025418,1881.0000000025723,16.261236242918066,2.3401391935351512e-11,"***"
"(bert-base-uncased)","(gpt2-large)","(bert-base-uncased) - (gpt2-large)",2.7763224562283337,0.6184552824025418,1881.0000000023115,4.4891240081951045,0.0012913984868172523,"**"
"(bert-base-uncased)","(gpt2-xl)","(bert-base-uncased) - (gpt2-xl)",2.6637308760291893,0.6184552824025416,1881.0000000023115,4.3070711041245735,0.0028615155095025324,"**"
"(bert-base-uncased)","(Llama-3.2-1B)","(bert-base-uncased) - (Llama-3.2-1B)",3.7307034094864058,0.6184552824025416,1881.0000000023115,6.032292900779457,3.6625569210801956e-7,"***"
"(bert-base-uncased)","(Llama-3.2-3B)","(bert-base-uncased) - (Llama-3.2-3B)",1.6349346841936447,0.6184552824025417,1881.0000000023115,2.6435778474432925,0.4715748592808463,"ns"
"(bert-base-uncased)","(Llama-3.1-8B)","(bert-base-uncased) - (Llama-3.1-8B)",1.628422359713661,0.6184552824025418,1881.0000000023115,2.6330478630365213,0.4797038600588621,"ns"
"(bert-base-uncased)","(Qwen2.5-1.5B)","(bert-base-uncased) - (Qwen2.5-1.5B)",3.3895872054065816,0.6184552824025417,1881.0000000023115,5.480731270074849,8.944557613577153e-6,"***"
"(bert-base-uncased)","(Qwen2.5-3B)","(bert-base-uncased) - (Qwen2.5-3B)",3.611498485289783,0.6184552824025417,1881.000000002051,5.839546670634017,1.1566369713111868e-6,"***"
"(bert-base-uncased)","(Qwen2.5-7B)","(bert-base-uncased) - (Qwen2.5-7B)",4.506202686424825,0.6184552824025416,1881.000000002051,7.286222326243819,1.1217604622970612e-10,"***"
"(bert-large-uncased)","(bert-base-multilingual-uncased)","(bert-large-uncased) - (bert-base-multilingual-uncased)",6.160940114750269,0.6184552824025478,1881.0000000015293,9.961819859984898,2.3596569143080615e-11,"***"
"(bert-large-uncased)","(roberta-base)","(bert-large-uncased) - (roberta-base)",9.447759224683267,0.6184552824025479,1881.0000000015293,15.276382130622327,2.3401391935351512e-11,"***"
"(bert-large-uncased)","(roberta-large)","(bert-large-uncased) - (roberta-large)",7.764388975015386,0.6184552824025479,1881.0000000015293,12.55448727813049,2.3401391935351512e-11,"***"
"(bert-large-uncased)","(xlm-roberta-base)","(bert-large-uncased) - (xlm-roberta-base)",12.987409326977165,0.6184552824025479,1881.0000000015293,20.9997548675213,2.3401391935351512e-11,"***"
"(bert-large-uncased)","(xlm-roberta-large)","(bert-large-uncased) - (xlm-roberta-large)",11.243345413109417,0.6184552824025478,1881.0000000015293,18.179722500601443,2.3401391935351512e-11,"***"
"(bert-large-uncased)","(deberta-v3-base)","(bert-large-uncased) - (deberta-v3-base)",-3.6319117715221094,0.6184552824025479,1881.0000000015293,-5.872553561856596,9.522810439088758e-7,"***"
"(bert-large-uncased)","(deberta-v3-large)","(bert-large-uncased) - (deberta-v3-large)",-4.5083339965682985,0.6184552824025479,1881.0000000015293,-7.289668509345608,1.099994539899285e-10,"***"
"(bert-large-uncased)","(mdeberta-v3-base)","(bert-large-uncased) - (mdeberta-v3-base)",2.7671800537599345,0.6184552824025479,1881.0000000015293,4.474341367107603,0.001379576258539128,"**"
