"model","lang","contrast","layer","estimate","SE","df","t.ratio","p.value","p.value.adj","layer_rel","layer_depth","p.value.signif","p.value.adj.signif"
"bert-base-chinese","zh","diff - same","1",0.9239071973561541,0.6994543365520155,167.49781420124046,1.3208970894520247,0.18833745141421626,0.18833745141421626,0.08333333333333333,"lower","",""
"bert-base-chinese","zh","diff - same","2",0.9461549089497435,0.6994543365520407,167.49781420124046,1.3527043289399177,0.17797330797002214,0.18833745141421626,0.16666666666666666,"lower","",""
"bert-base-chinese","zh","diff - same","3",1.4831989283181604,0.6994543365520406,167.49781420124046,2.1205085890661395,0.03543556733659113,0.042522680803909356,0.25,"lower","*","*"
"bert-base-chinese","zh","diff - same","4",1.9193194866686274,0.6994543365520406,167.49781420124046,2.74402400037994,0.006730723440715809,0.008974297920954413,0.3333333333333333,"middle","**","**"
"bert-base-chinese","zh","diff - same","5",2.2033328696182557,0.6994543365520406,167.49781420124046,3.1500739283132946,0.0019335672113768216,0.0029003508170652326,0.4166666666666667,"middle","**","**"
"bert-base-chinese","zh","diff - same","6",2.6483523642312994,0.6994543365520406,167.49781420124046,3.786312023292828,2.127681718046504e-4,3.647454373794007e-4,0.5,"middle","***","***"
"bert-base-chinese","zh","diff - same","7",3.0879350542547854,0.6994543365520406,167.49781420124046,4.414777195430309,1.806823384171786e-5,4.336376122012286e-5,0.5833333333333334,"middle","***","***"
"bert-base-chinese","zh","diff - same","8",3.41543606058639,0.6994543365520406,167.49781420124046,4.88300076517186,2.4230624649387212e-6,1.4538374789632328e-5,0.6666666666666666,"middle","***","***"
"bert-base-chinese","zh","diff - same","9",3.5826736797835874,0.6994543365520406,167.49781420124046,5.122098030651112,8.237266212735826e-7,9.884719455282992e-6,0.75,"higher","***","***"
"bert-base-chinese","zh","diff - same","10",3.340899608653304,0.6994543365520406,167.49781420124046,4.776437051090805,3.875162900575915e-6,1.550065160230366e-5,0.8333333333333334,"higher","***","***"
"bert-base-chinese","zh","diff - same","11",3.1856872586533216,0.6994543365520407,167.49781420124046,4.554532143380743,1.0067226508316723e-5,3.020167952495017e-5,0.9166666666666666,"higher","***","***"
"bert-base-chinese","zh","diff - same","12",2.9912434381696906,0.6994543365520407,167.49781420124046,4.276538555633269,3.181407442213025e-5,6.36281488442605e-5,1,"higher","***","***"
